Qty,Value,Part Num,Package,Parts
3,1N4148DO35-7,*,DO35-7,"D1, D2, D3"
17,3k3,*,R0805,"R1, R2, R3, R4, R5, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R33, R34"
1,7.3728MHz,*,DIL08-4,OSC1
10,10NF,CC0805JRX7R9BB103,C0805,"C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
3,10k,*,R0207_7,"R17, R20, R21"
1,24LC256P,24LC256-E/P,DIL8,IC2
2,100,*,R0207_7,"R18, R19"
6,100n,*,C025-025X050,"C1, C2, C3, C4, C5, C6"
1,100u,*,CPOL-RADIAL-100UF-25V,C17
3,130 1%,*,R0207_7,"R30, R31, R32"
5,270 1%,*,R0207_7,"R22, R23, R25, R27, R29"
3,560 1%,*,R0207_7,"R24, R26, R28"
1,CON-DSUB-15-VGA,*,181-015-212-171,VGA
1,FTDI_BASICPTH,*,FTDI_BASIC,FTDI_BASIC
1,M74HC4078B1R,M74HC4078B1R,DIP254P762X510-14,IC3
1,P8X32A-D40,P8X32A-D40,DIL40,IC1
1,PS/2,*,M_DIN6,PS/2
1,TPS7333QP,*,P8_TEX,IC4
